name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,temp_c,temp_f,disc_facility,disc_method
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,2015,,16.141,"646,127","401,509",4417.8,1.0472,,0,,,Cerro Tololo Inter-American Observatory,Imaging
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,2010,,12.6,"504,380","313,427",2383.6,1.1887,,0,,,Hubble Space Telescope,Imaging
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,2004,,13.0,"520,392","323,377",1271.0,0.5771,,0,877.0,1611.0,Paranal Observatory,Imaging
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2015,416.0,13.4,"536,404","333,327",603.9,0.2505,,0,,,Kepler,Eclipse Timing Variations
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,2009,7336.5,10.31,"412,711","256,463",6657.5,6.0617,,0,1802.0,3276.0,W. M. Keck Observatory,Imaging
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,2016,,12.3,"492,371","305,964",3972.9,2.1234,,0,,,W. M. Keck Observatory,Imaging
30 Ari B b,30 Ari B,b,2009,335.1,12.3,"492,371","305,964",4392.4,2.3593,,0,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
4 UMa b,4 UMa,b,2006,269.3,12.7,"508,383","315,914",2256.5,1.098,,0,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
42 Dra b,42 Dra,b,2008,479.1,13.0,"520,392","323,377",1233.1,0.559,,0,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
47 UMa b,47 UMa,b,1996,1078.0,13.2,"528,398","328,352",804.1,0.3485,,0,,,Lick Observatory,Radial Velocity
47 UMa c,47 UMa,c,2001,2391.0,14.2,"568,428","353,227",171.6,0.0597,,0,,,Lick Observatory,Radial Velocity
47 UMa d,47 UMa,d,2009,14002.0,13.5,"540,407","335,814",521.2,0.2105,,0,,,Lick Observatory,Radial Velocity
51 Eri b,51 Eri,b,2015,11688.0,13.4,"536,404","333,327",635.7,0.2632,,0,427.0,801.0,Gemini Observatory,Imaging
51 Peg b,51 Peg,b,1995,4.23,14.3,"572,431","355,714",146.2,0.0499,,0,,,Haute-Provence Observatory,Radial Velocity
55 Cnc b,55 Cnc,b,1996,14.65,13.9,"556,419","345,764",264.0,0.098,,0,427.0,801.0,Lick Observatory,Radial Velocity
55 Cnc c,55 Cnc,c,2004,44.42,8.51,"340,657","211,687",54.5,0.0882,,0,,,McDonald Observatory,Radial Velocity
55 Cnc d,55 Cnc,d,2002,4825.0,13.0,"520,392","323,377",1232.5,0.559,,0,,,Lick Observatory,Radial Velocity
55 Cnc e,55 Cnc,e,2004,0.74,1.91,"76,458","47,511",8.1,1.1615,,0,1685.0,3065.0,McDonald Observatory,Radial Velocity
55 Cnc f,55 Cnc,f,2007,262.0,7.59,"303,829","188,802",44.8,0.1022,,0,,,Multiple Observatories,Radial Velocity
6 Lyn b,6 Lyn,b,2008,934.3,13.4,"536,404","333,327",638.8,0.265,,0,,,Okayama Astrophysical Observatory,Radial Velocity
61 Vir b,61 Vir,b,2009,4.22,2.11,"84,464","52,487",5.1,0.5408,,0,,,Multiple Observatories,Radial Velocity
61 Vir c,61 Vir,c,2009,38.02,4.46,"178,535","110,943",18.2,0.2051,,0,,,Multiple Observatories,Radial Velocity
61 Vir d,61 Vir,d,2009,123.01,5.11,"204,554","127,112",22.9,0.1711,,0,,,Multiple Observatories,Radial Velocity
7 CMa b,7 CMa,b,2011,735.1,13.4,"536,404","333,327",588.0,0.2432,,0,,,Anglo-Australian Telescope,Radial Velocity
7 CMa c,7 CMa,c,2019,996.0,13.9,"556,419","345,764",276.5,0.1027,,0,,,Multiple Observatories,Radial Velocity
70 Vir b,70 Vir,b,1996,116.69,12.6,"504,380","313,427",2380.4,1.1869,,0,,,Lick Observatory,Radial Velocity
75 Cet b,75 Cet,b,2012,691.9,13.1,"524,395","325,864",953.5,0.4229,,0,,,Okayama Astrophysical Observatory,Radial Velocity
8 UMi b,8 UMi,b,2015,93.4,13.6,"544,410","338,302",416.4,0.1652,,0,,,Bohyunsan Optical Astronomical Observatory,Radial Velocity
81 Cet b,81 Cet,b,2008,952.7,12.8,"512,386","318,402",1684.4,0.8004,,0,,,Okayama Astrophysical Observatory,Radial Velocity
91 Aqr b,91 Aqr,b,2013,181.4,13.1,"524,395","325,864",1017.0,0.4519,,0,,,Lick Observatory,Radial Velocity
AB Pic b,AB Pic,b,2005,,12.3,"492,371","305,964",4290.5,2.3049,,0,,,Paranal Observatory,Imaging
AU Mic b,AU Mic,b,2020,8.46,4.203,"168,247","104,550",57.2,0.7985,,0,,,Transiting Exoplanet Survey Satellite (TESS),Transit
BD+03 2562 b,BD+03 2562,b,2017,481.9,12.7,"508,383","315,914",2034.1,0.9909,,0,,,Multiple Observatories,Radial Velocity
BD+14 4559 b,BD+14 4559,b,2009,268.94,13.8,"552,416","343,277",330.5,0.1254,,0,,,McDonald Observatory,Radial Velocity
BD+15 2375 b,BD+15 2375,b,2016,153.22,13.8,"552,416","343,277",337.2,0.1279,,0,,,Roque de los Muchachos Observatory,Radial Velocity
BD+15 2940 b,BD+15 2940,b,2013,137.48,13.7,"548,413","340,789",352.8,0.1368,,0,,,McDonald Observatory,Radial Velocity
BD+20 2457 b,BD+20 2457,b,2009,379.63,11.6,"464,350","288,552",17668.2,11.2886,,0,,,McDonald Observatory,Radial Velocity
BD+20 2457 c,BD+20 2457,c,2009,621.99,12.4,"496,374","308,452",3963.2,2.069,,0,,,McDonald Observatory,Radial Velocity
BD+20 274 b,BD+20 274,b,2012,578.2,13.0,"520,392","323,377",1334.9,0.6062,,0,,,McDonald Observatory,Radial Velocity
BD+20 594 b,BD+20 594,b,2016,41.69,2.578,"103,198","64,128",22.2,1.4319,,0,273.0,523.0,K2,Transit
BD+48 738 b,BD+48 738,b,2011,392.6,13.9,"556,419","345,764",289.2,0.1074,,0,,,McDonald Observatory,Radial Velocity
BD+48 740 b,BD+48 740,b,2018,733.0,13.5,"540,407","335,814",540.3,0.2196,,0,,,Multiple Observatories,Radial Velocity
BD+49 828 b,BD+49 828,b,2015,2590.0,13.5,"540,407","335,814",508.5,0.2069,,0,,,McDonald Observatory,Radial Velocity
BD-06 1339 b,BD-06 1339,b,2013,3.87,2.85,"114,086","70,894",8.5,0.3666,,0,,,La Silla Observatory,Radial Velocity
BD-06 1339 c,BD-06 1339,c,2013,125.94,8.38,"335,453","208,454",53.0,0.0898,,0,,,La Silla Observatory,Radial Velocity
BD-08 2823 b,BD-08 2823,b,2009,5.6,3.61,"144,509","89,799",12.7,0.2686,,0,,,La Silla Observatory,Radial Velocity
BD-08 2823 c,BD-08 2823,c,2009,237.6,12.5,"500,377","310,939",104.0,0.0532,,0,,,La Silla Observatory,Radial Velocity
BD-10 3166 b,BD-10 3166,b,2000,3.49,14.1,"564,425","350,739",187.5,0.0668,,0,,,W. M. Keck Observatory,Radial Velocity
BD-11 4672 b,BD-11 4672,b,2014,1634.0,14.1,"564,425","350,739",206.6,0.0735,,0,,,La Silla Observatory,Radial Velocity
BD-11 4672 c,BD-11 4672,c,2020,74.2,4.04,"161,722","100,496",15.4,0.2323,,0,,,Roque de los Muchachos Observatory,Radial Velocity
BD-13 2130 b,BD-13 2130,b,2007,714.3,12.5,"500,377","310,939",3108.4,1.588,,0,,,La Silla Observatory,Radial Velocity
BD-17 63 b,BD-17 63,b,2008,655.6,12.8,"512,386","318,402",1620.9,0.7713,,0,,,La Silla Observatory,Radial Velocity
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,b,2011,10037.5,12.4,"496,374","308,452",3337.1,1.7459,,0,97.0,207.0,W. M. Keck Observatory,Imaging
CHXR 73 b,CHXR 73,b,2006,,12.3,"492,371","305,964",3994.5,2.1416,,0,,,Hubble Space Telescope,Imaging
CI Tau b,CI Tau,b,2019,8.99,12.4,"496,374","308,452",3686.8,1.9238,,0,,,Multiple Observatories,Radial Velocity
CT Cha b,CT Cha,b,2007,,24.66,"987,144","613,421",5403.0,0.3593,,0,2327.0,4221.0,Paranal Observatory,Imaging
CoRoT-1 b,CoRoT-1,b,2008,1.51,16.7,"668,504","415,415",327.4,0.069,,0,1625.0,2957.0,CoRoT,Transit
CoRoT-10 b,CoRoT-10,b,2010,13.24,10.87,"435,128","270,393",874.0,0.6715,,0,327.0,621.0,CoRoT,Transit
CoRoT-11 b,CoRoT-11,b,2010,2.99,16.03,"641,684","398,748",740.5,0.1797,,0,1384.0,2523.0,CoRoT,Transit
CoRoT-12 b,CoRoT-12,b,2010,2.83,16.14,"646,087","401,485",291.4,0.0746,,0,1169.0,2136.0,CoRoT,Transit
CoRoT-13 b,CoRoT-13,b,2010,4.04,9.92,"397,099","246,761",415.7,0.4247,,0,1427.0,2601.0,CoRoT,Transit
CoRoT-14 b,CoRoT-14,b,2010,1.51,12.22,"489,169","303,974",2415.4,1.3249,,0,1679.0,3054.0,CoRoT,Transit
CoRoT-16 b,CoRoT-16,b,2011,5.35,13.11,"524,796","326,113",170.0,0.0799,,0,,,CoRoT,Transit
CoRoT-17 b,CoRoT-17,b,2011,3.77,11.43,"457,545","284,323",772.3,0.5118,,0,1353.0,2467.0,CoRoT,Transit
CoRoT-18 b,CoRoT-18,b,2011,1.9,14.68,"587,643","365,167",1102.8,0.3993,,0,1277.0,2331.0,CoRoT,Transit
CoRoT-19 b,CoRoT-19,b,2011,3.9,14.46,"578,836","359,694",352.8,0.1289,,0,1727.0,3141.0,CoRoT,Transit
CoRoT-2 b,CoRoT-2,b,2008,1.74,16.432,"657,776","408,748",1102.8,0.2668,,0,1248.0,2278.0,CoRoT,Transit
CoRoT-20 b,CoRoT-20,b,2011,9.24,9.416,"376,924","234,224",1366.7,1.6098,,0,751.0,1384.0,CoRoT,Transit
CoRoT-20 c,CoRoT-20,c,2018,1675.0,12.2,"488,368","303,477",5403.1,2.9764,,0,,,Multiple Observatories,Radial Velocity
CoRoT-21 b,CoRoT-21,b,2012,2.72,14.572,"583,320","362,480",718.3,0.2468,,0,,,CoRoT,Transit
CoRoT-22 b,CoRoT-22,b,2014,9.76,4.88,"195,347","121,391",12.2,0.0452,,0,612.0,1134.0,CoRoT,Transit
CoRoT-23 b,CoRoT-23,b,2011,3.63,11.77,"471,155","292,780",889.9,0.5445,,0,1387.0,2529.0,CoRoT,Transit
CoRoT-24 b,CoRoT-24,b,2014,5.11,3.7,"148,112","92,038",5.7,0.1633,,0,797.0,1467.0,CoRoT,Transit
CoRoT-24 c,CoRoT-24,c,2014,11.76,5.0,"200,151","124,376",28.0,0.2359,,0,577.0,1071.0,CoRoT,Transit
CoRoT-25 b,CoRoT-25,b,2013,4.86,12.11,"484,765","301,238",85.8,0.0272,,0,1057.0,1935.0,CoRoT,Transit
CoRoT-26 b,CoRoT-26,b,2013,4.2,14.12,"565,226","351,237",165.3,0.0508,,0,1327.0,2421.0,CoRoT,Transit
CoRoT-27 b,CoRoT-27,b,2014,3.58,11.287,"451,821","280,766",3302.1,2.2868,,0,1227.0,2241.0,CoRoT,Transit
CoRoT-28 b,CoRoT-28,b,2015,5.21,10.705,"428,523","266,288",153.8,0.1252,,0,,,CoRoT,Transit
CoRoT-29 b,CoRoT-29,b,2015,2.85,10.088,"403,824","250,940",270.2,0.2632,,0,,,CoRoT,Transit
CoRoT-3 b,CoRoT-3,b,2008,4.26,11.32,"453,142","281,586",6883.9,4.7913,,0,1422.0,2592.0,CoRoT,Transit
CoRoT-30 b,CoRoT-30,b,2020,9.06,11.31,"452,741","281,338",921.7,0.6261,,0,,,CoRoT,Transit
CoRoT-31 b,CoRoT-31,b,2020,4.63,16.365,"655,094","407,082",267.0,0.0599,,0,,,CoRoT,Transit
CoRoT-4 b,CoRoT-4,b,2008,9.2,13.34,"534,003","331,834",228.8,0.0953,,0,801.0,1474.0,CoRoT,Transit
CoRoT-5 b,CoRoT-5,b,2009,4.04,15.558,"622,789","387,007",148.4,0.0394,,0,1165.0,2129.0,CoRoT,Transit
CoRoT-6 b,CoRoT-6,b,2009,8.89,13.068,"523,114","325,068",940.7,0.4211,,0,744.0,1371.0,CoRoT,Transit
CoRoT-7 b,CoRoT-7,b,2009,0.85,1.681,"67,291","41,815",3.2,1.1996,,0,1483.0,2701.0,CoRoT,Transit
CoRoT-7 c,CoRoT-7,c,2009,3.7,2.83,"113,285","70,397",8.4,0.3702,,0,,,CoRoT,Radial Velocity
CoRoT-8 b,CoRoT-8,b,2010,6.21,6.39,"255,793","158,952",69.9,0.2904,,0,597.0,1107.0,CoRoT,Transit
CoRoT-9 b,CoRoT-9,b,2009,95.27,11.949,"478,321","297,233",267.0,0.1561,,0,147.0,297.0,CoRoT,Transit
CoRoTID 223977153 b,CoRoTID 223977153,b,2017,6.72,6.389,"255,753","158,927",47.7,0.1996,132.26,0,665.0,1229.0,CoRoT,Transit
DE CVn b,DE CVn,b,2018,4098.1,12.4,"496,374","308,452",3823.3,1.9964,,0,,,Multiple Facilities,Eclipse Timing Variations
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,b,2013,246.36,11.9,"476,359","296,014",9057.8,5.3539,,0,,,Paranal Observatory,Astrometry
DH Tau b,DH Tau,b,2004,,30.264,"1,211,473","752,821",3496.0,0.1258,,0,1927.0,3501.0,Subaru Telescope,Imaging
DMPP-1 b,DMPP-1,b,2019,18.57,5.29,"211,760","131,589",24.3,0.1635,,0,604.0,1119.0,La Silla Observatory,Radial Velocity
DMPP-1 c,DMPP-1,c,2019,6.58,3.06,"122,492","76,118",9.6,0.3339,,0,966.0,1771.0,La Silla Observatory,Radial Velocity
DMPP-1 d,DMPP-1,d,2019,2.88,1.65,"66,050","41,044",3.4,0.7441,,0,1359.0,2478.0,La Silla Observatory,Radial Velocity
DMPP-1 e,DMPP-1,e,2019,5.52,1.86,"74,456","46,268",4.1,0.6407,,0,1041.0,1906.0,La Silla Observatory,Radial Velocity
DMPP-2 b,DMPP-2,b,2019,5.21,14.3,"572,431","355,714",138.9,0.0474,,0,727.0,1341.0,Multiple Facilities,Radial Velocity
DMPP-3 A b,DMPP-3 A,b,2019,6.67,1.41,"56,443","35,074",2.6,0.9183,,0,581.0,1078.0,La Silla Observatory,Radial Velocity
DP Leo b,DP Leo,b,2009,10220.0,12.7,"508,383","315,914",1995.9,0.971,,0,,,Yunnan Astronomical Observatory,Eclipse Timing Variations
DS Tuc A b,DS Tuc A,b,2019,8.14,5.7,"228,172","141,788",413.2,,54.77,0,577.0,1071.0,Transiting Exoplanet Survey Satellite (TESS),Transit
EPIC 201238110 b,EPIC 201238110,b,2019,28.17,1.87,"74,856","46,516",4.2,0.6352,,0,,,K2,Transit
EPIC 201497682 b,EPIC 201497682,b,2019,2.13,0.692,"27,701","17,214",0.3,0.7822,,0,,,K2,Transit
EPIC 201615463 c,K2-166,c,2019,3.8,1.22,"48,837","30,348",2.0,1.0871,,0,,,K2,Transit
EPIC 201754305 d,K2-16,d,2019,2.72,1.03,"41,231","25,621",1.1,0.9855,,0,,,K2,Transit
EPIC 201833600 c,K2-50,c,2019,3.96,1.0,"40,030","24,875",1.0,0.9691,,0,,,K2,Transit
EPIC 201841433 b,EPIC 201841433,b,2019,4.17,1.1,"44,033","27,363",1.4,1.0272,,0,,,K2,Transit
EPIC 205950854 c,K2-168,c,2019,8.05,1.31,"52,440","32,586",2.3,1.0073,,0,688.0,1270.0,K2,Transit
EPIC 206024342 b,EPIC 206024342,b,2019,4.51,1.7,"68,051","42,288",3.5,0.7169,,0,,,K2,Transit
EPIC 206032309 b,EPIC 206032309,b,2019,2.88,1.01,"40,430","25,124",1.0,0.9782,,0,,,K2,Transit
EPIC 206042996 b,EPIC 206042996,b,2019,5.3,1.62,"64,849","40,298",3.3,0.7641,,0,,,K2,Transit
EPIC 206215704 b,EPIC 206215704,b,2019,2.25,0.9,"36,027","22,388",0.7,0.9111,,0,,,K2,Transit
EPIC 206317286 b,EPIC 206317286,b,2019,1.58,0.96,"38,429","23,880",0.8,0.9474,,0,,,K2,Transit
EPIC 211822797 b,EPIC 211822797,b,2016,21.17,1.98,"79,260","49,253",4.6,0.588,3.5,0,,,K2,Transit
EPIC 211945201 b,EPIC 211945201,b,2018,19.49,5.76,"230,574","143,281",27.0,0.118,,0,544.0,1011.0,K2,Transit
EPIC 212297394 b,EPIC 212297394,b,2019,2.29,1.323,"52,960","32,910",2.3,0.9946,,0,,,K2,Transit
EPIC 212424622 b,EPIC 212424622,b,2019,18.1,2.17,"86,865","53,979",5.4,0.5227,,0,,,K2,Transit
EPIC 212499991 b,EPIC 212499991,b,2019,34.88,1.6,"64,048","39,800",3.2,0.7768,,0,,,K2,Transit
EPIC 212587672 b,EPIC 212587672,b,2019,15.28,1.12,"44,834","27,860",1.5,1.0363,,0,,,K2,Transit
EPIC 212737443 b,EPIC 212737443,b,2019,13.6,2.586,"103,518","64,327",7.2,0.4156,,0,263.0,505.0,K2,Transit
EPIC 212737443 c,EPIC 212737443,c,2019,65.55,2.69,"107,681","66,914",7.7,0.3938,,0,43.0,109.0,K2,Transit
EPIC 220554210 c,K2-282,c,2019,0.71,1.48,"59,245","36,815",2.8,0.8584,,0,,,K2,Transit
EPIC 220674823 b,EPIC 220674823,b,2016,0.57,1.82,"72,855","45,273",7.7,1.5426,4293,0,1846.0,3355.0,K2,Transit
EPIC 220674823 c,EPIC 220674823,c,2016,13.34,2.73,"109,282","67,909",5.8,0.363,64,0,468.0,874.0,K2,Transit
EPIC 246851721 b,EPIC 246851721,b,2018,6.18,11.781,"471,595","293,054",953.5,0.5626,642,0,1128.0,2062.0,K2,Transit
EPIC 248847494 b,EPIC 248847494,b,2018,3650.0,12.442,"498,055","309,496",4131.8,,0.19,0,-90.0,-130.0,K2,Transit
EPIC 249893012 b,EPIC 249893012,b,2020,3.6,1.95,"78,059","48,507",8.8,1.1597,1037,0,1343.0,2449.0,K2,Transit
EPIC 249893012 c,EPIC 249893012,c,2020,15.62,3.67,"146,911","91,292",14.7,0.294,160,0,717.0,1323.0,K2,Transit
EPIC 249893012 d,EPIC 249893012,d,2020,35.75,3.94,"157,719","98,008",10.2,0.1652,53,0,479.0,894.0,K2,Transit
FU Tau b,FU Tau,b,2008,,12.2,"488,368","303,477",5085.3,2.7949,,0,2102.0,3816.0,Spitzer Space Telescope,Imaging
G 9-40 b,G 9-40,b,2019,5.75,2.025,"81,061","50,372",4.8,0.5717,7.2,0,183.0,361.0,K2,Transit
GJ 1061 b,GJ 1061,b,2020,3.2,1.1,"44,033","27,363",1.4,1.0272,3.8,0,,,La Silla Observatory,Radial Velocity
GJ 1061 c,GJ 1061,c,2020,6.69,1.18,"47,236","29,353",1.7,1.0563,1.4,1,,,La Silla Observatory,Radial Velocity
GJ 1061 d,GJ 1061,d,2020,13.03,1.16,"46,435","28,855",1.6,1.0472,0.6,1,,,La Silla Observatory,Radial Velocity
GJ 1132 b,GJ 1132,b,2015,1.63,1.13,"45,234","28,109",1.7,1.1434,,0,256.0,493.0,Cerro Tololo Inter-American Observatory,Transit
GJ 1132 c,GJ 1132,c,2018,8.93,1.43,"57,243","35,571",2.6,0.9002,,0,27.0,81.0,La Silla Observatory,Radial Velocity
GJ 1148 b,GJ 1148,b,2010,41.38,11.9,"476,359","296,014",96.7,0.0572,,0,,,W. M. Keck Observatory,Radial Velocity
GJ 1148 c,GJ 1148,c,2017,532.58,9.71,"388,693","241,538",68.1,0.0742,,0,,,Calar Alto Observatory,Radial Velocity
GJ 1214 b,GJ 1214,b,2009,1.58,2.847,"113,966","70,819",6.3,0.2704,,0,274.0,525.0,MEarth Project,Transit
GJ 1252 b,GJ 1252,b,2020,0.52,1.193,"47,756","29,676",2.1,1.2269,,0,816.0,1501.0,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 1265 b,GJ 1265,b,2018,3.65,2.63,"105,279","65,422",7.4,0.4065,,0,,,Calar Alto Observatory,Radial Velocity
GJ 143 b,GJ 143,b,2019,35.61,2.61,"104,479","64,924",22.7,1.2704,3.86,0,149.0,300.0,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 15 A b,GJ 15 A,b,2014,11.44,1.55,"62,047","38,556",3.0,0.8113,,0,277.0,531.0,W. M. Keck Observatory,Radial Velocity
GJ 15 A c,GJ 15 A,c,2018,7600.0,6.67,"267,001","165,917",36.0,0.1211,,0,,,Roque de los Muchachos Observatory,Radial Velocity
GJ 160.2 b,GJ 160.2,b,2014,5.24,3.17,"126,896","78,854",10.2,0.3194,,0,,,Multiple Observatories,Radial Velocity
GJ 163 b,GJ 163,b,2013,8.63,3.25,"130,098","80,844",10.6,0.3085,,0,,,La Silla Observatory,Radial Velocity
GJ 163 c,GJ 163,c,2013,25.63,2.5,"100,075","62,188",6.8,0.4338,,2,,,La Silla Observatory,Radial Velocity
GJ 163 d,GJ 163,d,2013,603.95,5.92,"236,979","147,261",29.4,0.1414,,0,,,La Silla Observatory,Radial Velocity
GJ 179 b,GJ 179,b,2009,2288.0,13.9,"556,419","345,764",260.6,0.0967,,0,,,W. M. Keck Observatory,Radial Velocity
GJ 180 b,GJ 180,b,2014,17.13,2.43,"97,273","60,447",6.5,0.4519,,0,,,Multiple Observatories,Radial Velocity
GJ 180 c,GJ 180,c,2014,24.33,2.41,"96,473","59,949",6.4,0.4555,,2,,,Multiple Observatories,Radial Velocity
GJ 180 d,GJ 180,d,2020,106.3,2.66,"106,480","66,168",7.6,0.4011,,0,,,Multiple Facilities,Radial Velocity
GJ 2056 b,GJ 2056,b,2020,69.97,4.17,"166,926","103,729",16.2,0.2232,,0,,,Multiple Observatories,Radial Velocity
GJ 229 A c,GJ 229,c,2020,122.0,2.6,"104,078","64,675",7.3,0.412,,2,,,Multiple Facilities,Radial Velocity
GJ 229 b,GJ 229,b,2014,526.12,2.85,"114,086","70,894",8.5,0.3648,,0,,,Multiple Observatories,Radial Velocity
GJ 27.1 b,GJ 27.1,b,2014,15.82,3.66,"146,510","91,043",13.0,0.265,,0,,,Multiple Observatories,Radial Velocity
GJ 273 b,GJ 273,b,2017,18.65,1.51,"60,446","37,561",2.9,0.8367,1.06,1,,,La Silla Observatory,Radial Velocity
GJ 273 c,GJ 273,c,2017,4.72,1.06,"42,432","26,368",1.2,0.9873,6.66,0,,,La Silla Observatory,Radial Velocity
GJ 3021 b,GJ 3021,b,2000,133.71,13.1,"524,395","325,864",1071.0,0.4755,,0,77.0,171.0,La Silla Observatory,Radial Velocity
GJ 3082 b,GJ 3082,b,2020,11.95,2.79,"111,684","69,402",8.2,0.3757,,0,,,Multiple Facilities,Radial Velocity
GJ 3138 b,GJ 3138,b,2017,1.22,1.18,"47,236","29,353",1.8,1.0799,118.1,0,,,La Silla Observatory,Radial Velocity
GJ 3138 c,GJ 3138,c,2017,5.97,1.88,"75,257","46,765",4.2,0.6279,13.9,0,,,La Silla Observatory,Radial Velocity
GJ 3138 d,GJ 3138,d,2017,257.8,3.23,"129,297","80,347",10.5,0.3103,0.1,0,,,La Silla Observatory,Radial Velocity
GJ 317 b,GJ 317,b,2007,695.66,13.3,"532,401","330,839",794.5,0.3376,,0,,,W. M. Keck Observatory,Radial Velocity
GJ 317 c,GJ 317,c,2018,6739.32,13.5,"540,407","335,814",522.5,0.2123,,0,,,W. M. Keck Observatory,Radial Velocity
GJ 328 b,GJ 328,b,2013,4100.0,13.3,"532,401","330,839",731.0,0.3103,,0,,,McDonald Observatory,Radial Velocity
GJ 3293 b,GJ 3293,b,2015,30.6,5.19,"207,757","129,102",23.5,0.1679,1.07,0,,,La Silla Observatory,Radial Velocity
GJ 3293 c,GJ 3293,c,2015,122.62,4.87,"194,947","121,142",21.1,0.1815,0.17,0,,,La Silla Observatory,Radial Velocity
GJ 3293 d,GJ 3293,d,2017,48.13,2.67,"106,881","66,417",7.6,0.3975,0.59,2,,,La Silla Observatory,Radial Velocity
GJ 3293 e,GJ 3293,e,2017,13.25,1.63,"65,249","40,546",3.3,0.755,3.34,0,,,La Silla Observatory,Radial Velocity
GJ 3323 b,GJ 3323,b,2017,5.36,1.23,"49,237","30,596",2.0,1.0817,2.58,0,,,La Silla Observatory,Radial Velocity
GJ 3323 c,GJ 3323,c,2017,40.54,1.32,"52,840","32,835",2.3,1.0018,0.17,0,,,La Silla Observatory,Radial Velocity
GJ 3341 b,GJ 3341,b,2015,14.21,2.46,"98,474","61,193",6.6,0.4428,,0,,,La Silla Observatory,Radial Velocity
GJ 338 B b,GJ 338 B,b,2020,24.45,3.19,"127,696","79,352",10.3,0.3158,,0,118.0,244.0,Calar Alto Observatory,Radial Velocity
GJ 3470 b,GJ 3470,b,2012,3.34,4.57,"182,938","113,679",13.9,0.1452,,0,321.0,610.0,La Silla Observatory,Radial Velocity
GJ 3512 b,GJ 3512,b,2019,203.59,14.3,"572,431","355,714",147.2,0.0503,,0,,,Calar Alto Observatory,Radial Velocity
GJ 357 b,GJ 357,b,2019,3.93,1.217,"48,717","30,273",1.8,1.0163,12.6,0,252.0,486.0,Transiting Exoplanet Survey Satellite (TESS),Transit
GJ 357 c,GJ 357,c,2019,9.12,1.66,"66,450","41,293",3.4,0.7405,4.45,0,128.0,262.0,Multiple Observatories,Radial Velocity
GJ 357 d,GJ 357,d,2019,55.66,2.34,"93,671","58,208",6.1,0.4755,0.38,2,-53.0,-63.0,Multiple Observatories,Radial Velocity
GJ 3634 b,GJ 3634,b,2010,2.65,2.83,"113,285","70,397",8.4,0.3702,,0,,,La Silla Observatory,Radial Velocity
GJ 3779 b,GJ 3779,b,2018,3.02,2.75,"110,083","68,407",8.0,0.3829,,0,,,Calar Alto Observatory,Radial Velocity
GJ 3942 b,GJ 3942,b,2017,6.9,2.57,"102,878","63,929",7.1,0.4192,,0,317.0,603.0,Roque de los Muchachos Observatory,Radial Velocity
